"","pay","algorithm","sdev","n","s","rep"
"356",21,1,"0.1",5,5,11
"357",48,2,"0.1",5,5,11
"358",48,3,"0.1",5,5,11
"359",48,4,"0.1",5,5,11
"360",48,5,"0.1",5,5,11
"361",20.195393780335,1,"0.5",5,5,11
"362",48.0067092525581,2,"0.5",5,5,11
"363",48.0067092525581,3,"0.5",5,5,11
"364",48.0067092525581,4,"0.5",5,5,11
"365",48.0067092525581,5,"0.5",5,5,11
"366",39.5091561158239,1,"1",5,5,11
"367",50.7067056647323,2,"1",5,5,11
"368",50.7067056647323,3,"1",5,5,11
"369",50.7067056647323,4,"1",5,5,11
"370",50.7067056647323,5,"1",5,5,11
"371",57.4880171743751,1,"2",5,5,11
"372",60.1306131942527,2,"2",5,5,11
"373",60.1306131942527,3,"2",5,5,11
"374",60.1306131942527,4,"2",5,5,11
"375",60.1306131942527,5,"2",5,5,11
"376",59.6434874998397,1,"5",5,5,11
"377",66.8484858002421,2,"5",5,5,11
"378",66.8484858002421,3,"5",5,5,11
"379",66.8484858002421,4,"5",5,5,11
"380",66.8484858002421,5,"5",5,5,11
"381",67.132575167787,1,"10",5,5,11
"382",68.4493603211083,2,"10",5,5,11
"383",68.4493603211083,3,"10",5,5,11
"384",68.4493603211083,4,"10",5,5,11
"385",68.4493603211083,5,"10",5,5,11
"386",6,1,"0.05",5,5,12
"387",18,2,"0.05",5,5,12
"388",18,3,"0.05",5,5,12
"389",18,4,"0.05",5,5,12
"390",18,5,"0.05",5,5,12
"391",13,1,"0.1",5,5,12
"392",18,2,"0.1",5,5,12
"393",18,3,"0.1",5,5,12
"394",18,4,"0.1",5,5,12
"395",18,5,"0.1",5,5,12
"396",13.8133535651613,1,"0.5",5,5,12
"397",18,2,"0.5",5,5,12
"398",18,3,"0.5",5,5,12
"399",18,4,"0.5",5,5,12
"400",18,5,"0.5",5,5,12
"401",17.1916340877605,1,"1",5,5,12
"402",20.6391839582758,2,"1",5,5,12
"403",20.6391839582758,3,"1",5,5,12
"404",20.6391839582758,4,"1",5,5,12
"405",20.6391839582758,5,"1",5,5,12
"406",21.2095510436226,1,"2",5,5,12
"407",22.4587759374137,2,"2",5,5,12
"408",22.4587759374137,3,"2",5,5,12
"409",22.4587759374137,4,"2",5,5,12
"410",22.4587759374137,5,"2",5,5,12
"411",25.8357827144375,1,"5",5,5,12
"412",25.8357827144375,2,"5",5,5,12
"413",25.8357827144375,3,"5",5,5,12
"414",25.8357827144375,4,"5",5,5,12
"415",25.8357827144375,5,"5",5,5,12
"416",26.6985802348209,1,"10",5,5,12
"417",26.6985802348209,2,"10",5,5,12
"418",26.6985802348209,3,"10",5,5,12
"419",26.6985802348209,4,"10",5,5,12
"420",26.6985802348209,5,"10",5,5,12
"421",10,1,"0.05",5,5,13
